ID,Name,Height,Weight,Types,Abilities,Stats
167,spinarak,5,85,"bug, poison","swarm, insomnia, sniper","{'hp': 40, 'attack': 60, 'defense': 40, 'special-attack': 40, 'special-defense': 40, 'speed': 30}"
168,ariados,11,335,"bug, poison","swarm, insomnia, sniper","{'hp': 70, 'attack': 90, 'defense': 70, 'special-attack': 60, 'special-defense': 70, 'speed': 40}"
169,crobat,18,750,"poison, flying","inner-focus, infiltrator","{'hp': 85, 'attack': 90, 'defense': 80, 'special-attack': 70, 'special-defense': 80, 'speed': 130}"
170,chinchou,5,120,"water, electric","volt-absorb, illuminate, water-absorb","{'hp': 75, 'attack': 38, 'defense': 38, 'special-attack': 56, 'special-defense': 56, 'speed': 67}"
171,lanturn,12,225,"water, electric","volt-absorb, illuminate, water-absorb","{'hp': 125, 'attack': 58, 'defense': 58, 'special-attack': 76, 'special-defense': 76, 'speed': 67}"
172,pichu,3,20,electric,"static, lightning-rod","{'hp': 20, 'attack': 40, 'defense': 15, 'special-attack': 35, 'special-defense': 35, 'speed': 60}"
173,cleffa,3,30,fairy,"cute-charm, magic-guard, friend-guard","{'hp': 50, 'attack': 25, 'defense': 28, 'special-attack': 45, 'special-defense': 55, 'speed': 15}"
174,igglybuff,3,10,"normal, fairy","cute-charm, competitive, friend-guard","{'hp': 90, 'attack': 30, 'defense': 15, 'special-attack': 40, 'special-defense': 20, 'speed': 15}"
175,togepi,3,15,fairy,"hustle, serene-grace, super-luck","{'hp': 35, 'attack': 20, 'defense': 65, 'special-attack': 40, 'special-defense': 65, 'speed': 20}"
176,togetic,6,32,"fairy, flying","hustle, serene-grace, super-luck","{'hp': 55, 'attack': 40, 'defense': 85, 'special-attack': 80, 'special-defense': 105, 'speed': 40}"
177,natu,2,20,"psychic, flying","synchronize, early-bird, magic-bounce","{'hp': 40, 'attack': 50, 'defense': 45, 'special-attack': 70, 'special-defense': 45, 'speed': 70}"
178,xatu,15,150,"psychic, flying","synchronize, early-bird, magic-bounce","{'hp': 65, 'attack': 75, 'defense': 70, 'special-attack': 95, 'special-defense': 70, 'speed': 95}"
179,mareep,6,78,electric,"static, plus","{'hp': 55, 'attack': 40, 'defense': 40, 'special-attack': 65, 'special-defense': 45, 'speed': 35}"
180,flaaffy,8,133,electric,"static, plus","{'hp': 70, 'attack': 55, 'defense': 55, 'special-attack': 80, 'special-defense': 60, 'speed': 45}"
181,ampharos,14,615,electric,"static, plus","{'hp': 90, 'attack': 75, 'defense': 85, 'special-attack': 115, 'special-defense': 90, 'speed': 55}"
182,bellossom,4,58,grass,"chlorophyll, healer","{'hp': 75, 'attack': 80, 'defense': 95, 'special-attack': 90, 'special-defense': 100, 'speed': 50}"
183,marill,4,85,"water, fairy","thick-fat, huge-power, sap-sipper","{'hp': 70, 'attack': 20, 'defense': 50, 'special-attack': 20, 'special-defense': 50, 'speed': 40}"
184,azumarill,8,285,"water, fairy","thick-fat, huge-power, sap-sipper","{'hp': 100, 'attack': 50, 'defense': 80, 'special-attack': 60, 'special-defense': 80, 'speed': 50}"
185,sudowoodo,12,380,rock,"sturdy, rock-head, rattled","{'hp': 70, 'attack': 100, 'defense': 115, 'special-attack': 30, 'special-defense': 65, 'speed': 30}"
186,politoed,11,339,water,"water-absorb, damp, drizzle","{'hp': 90, 'attack': 75, 'defense': 75, 'special-attack': 90, 'special-defense': 100, 'speed': 70}"
187,hoppip,4,5,"grass, flying","chlorophyll, leaf-guard, infiltrator","{'hp': 35, 'attack': 35, 'defense': 40, 'special-attack': 35, 'special-defense': 55, 'speed': 50}"
188,skiploom,6,10,"grass, flying","chlorophyll, leaf-guard, infiltrator","{'hp': 55, 'attack': 45, 'defense': 50, 'special-attack': 45, 'special-defense': 65, 'speed': 80}"
189,jumpluff,8,30,"grass, flying","chlorophyll, leaf-guard, infiltrator","{'hp': 75, 'attack': 55, 'defense': 70, 'special-attack': 55, 'special-defense': 95, 'speed': 110}"
190,aipom,8,115,normal,"run-away, pickup, skill-link","{'hp': 55, 'attack': 70, 'defense': 55, 'special-attack': 40, 'special-defense': 55, 'speed': 85}"
191,sunkern,3,18,grass,"chlorophyll, solar-power, early-bird","{'hp': 30, 'attack': 30, 'defense': 30, 'special-attack': 30, 'special-defense': 30, 'speed': 30}"
192,sunflora,8,85,grass,"chlorophyll, solar-power, early-bird","{'hp': 75, 'attack': 75, 'defense': 55, 'special-attack': 105, 'special-defense': 85, 'speed': 30}"
193,yanma,12,380,"bug, flying","speed-boost, compound-eyes, frisk","{'hp': 65, 'attack': 65, 'defense': 45, 'special-attack': 75, 'special-defense': 45, 'speed': 95}"
194,wooper,4,85,"water, ground","damp, water-absorb, unaware","{'hp': 55, 'attack': 45, 'defense': 45, 'special-attack': 25, 'special-defense': 25, 'speed': 15}"
195,quagsire,14,750,"water, ground","damp, water-absorb, unaware","{'hp': 95, 'attack': 85, 'defense': 85, 'special-attack': 65, 'special-defense': 65, 'speed': 35}"
196,espeon,9,265,psychic,"synchronize, magic-bounce","{'hp': 65, 'attack': 65, 'defense': 60, 'special-attack': 130, 'special-defense': 95, 'speed': 110}"
197,umbreon,10,270,dark,"synchronize, inner-focus","{'hp': 95, 'attack': 65, 'defense': 110, 'special-attack': 60, 'special-defense': 130, 'speed': 65}"
198,murkrow,5,21,"dark, flying","insomnia, super-luck, prankster","{'hp': 60, 'attack': 85, 'defense': 42, 'special-attack': 85, 'special-defense': 42, 'speed': 91}"
199,slowking,20,795,"water, psychic","oblivious, own-tempo, regenerator","{'hp': 95, 'attack': 75, 'defense': 80, 'special-attack': 100, 'special-defense': 110, 'speed': 30}"
200,misdreavus,7,10,ghost,levitate,"{'hp': 60, 'attack': 60, 'defense': 60, 'special-attack': 85, 'special-defense': 85, 'speed': 85}"
201,unown,5,50,psychic,levitate,"{'hp': 48, 'attack': 72, 'defense': 48, 'special-attack': 72, 'special-defense': 48, 'speed': 48}"
202,wobbuffet,13,285,psychic,"shadow-tag, telepathy","{'hp': 190, 'attack': 33, 'defense': 58, 'special-attack': 33, 'special-defense': 58, 'speed': 33}"
203,girafarig,15,415,"normal, psychic","inner-focus, early-bird, sap-sipper","{'hp': 70, 'attack': 80, 'defense': 65, 'special-attack': 90, 'special-defense': 65, 'speed': 85}"
204,pineco,6,72,bug,"sturdy, overcoat","{'hp': 50, 'attack': 65, 'defense': 90, 'special-attack': 35, 'special-defense': 35, 'speed': 15}"
205,forretress,12,1258,"bug, steel","sturdy, overcoat","{'hp': 75, 'attack': 90, 'defense': 140, 'special-attack': 60, 'special-defense': 60, 'speed': 40}"
206,dunsparce,15,140,normal,"serene-grace, run-away, rattled","{'hp': 100, 'attack': 70, 'defense': 70, 'special-attack': 65, 'special-defense': 65, 'speed': 45}"
207,gligar,11,648,"ground, flying","hyper-cutter, sand-veil, immunity","{'hp': 65, 'attack': 75, 'defense': 105, 'special-attack': 35, 'special-defense': 65, 'speed': 85}"
208,steelix,92,4000,"steel, ground","rock-head, sturdy, sheer-force","{'hp': 75, 'attack': 85, 'defense': 200, 'special-attack': 55, 'special-defense': 65, 'speed': 30}"
209,snubbull,6,78,fairy,"intimidate, run-away, rattled","{'hp': 60, 'attack': 80, 'defense': 50, 'special-attack': 40, 'special-defense': 40, 'speed': 30}"
210,granbull,14,487,fairy,"intimidate, quick-feet, rattled","{'hp': 90, 'attack': 120, 'defense': 75, 'special-attack': 60, 'special-defense': 60, 'speed': 45}"
211,qwilfish,5,39,"water, poison","poison-point, swift-swim, intimidate","{'hp': 65, 'attack': 95, 'defense': 85, 'special-attack': 55, 'special-defense': 55, 'speed': 85}"
212,scizor,18,1180,"bug, steel","swarm, technician, light-metal","{'hp': 70, 'attack': 130, 'defense': 100, 'special-attack': 55, 'special-defense': 80, 'speed': 65}"
213,shuckle,6,205,"bug, rock","sturdy, gluttony, contrary","{'hp': 20, 'attack': 10, 'defense': 230, 'special-attack': 10, 'special-defense': 230, 'speed': 5}"
214,heracross,15,540,"bug, fighting","swarm, guts, moxie","{'hp': 80, 'attack': 125, 'defense': 75, 'special-attack': 40, 'special-defense': 95, 'speed': 85}"
215,sneasel,9,280,"dark, ice","inner-focus, keen-eye, pickpocket","{'hp': 55, 'attack': 95, 'defense': 55, 'special-attack': 35, 'special-defense': 75, 'speed': 115}"
216,teddiursa,6,88,normal,"pickup, quick-feet, honey-gather","{'hp': 60, 'attack': 80, 'defense': 50, 'special-attack': 50, 'special-defense': 50, 'speed': 40}"
217,ursaring,18,1258,normal,"guts, quick-feet, unnerve","{'hp': 90, 'attack': 130, 'defense': 75, 'special-attack': 75, 'special-defense': 75, 'speed': 55}"
218,slugma,7,350,fire,"magma-armor, flame-body, weak-armor","{'hp': 40, 'attack': 40, 'defense': 40, 'special-attack': 70, 'special-defense': 40, 'speed': 20}"
219,magcargo,8,550,"fire, rock","magma-armor, flame-body, weak-armor","{'hp': 60, 'attack': 50, 'defense': 120, 'special-attack': 90, 'special-defense': 80, 'speed': 30}"
220,swinub,4,65,"ice, ground","oblivious, snow-cloak, thick-fat","{'hp': 50, 'attack': 50, 'defense': 40, 'special-attack': 30, 'special-defense': 30, 'speed': 50}"
221,piloswine,11,558,"ice, ground","oblivious, snow-cloak, thick-fat","{'hp': 100, 'attack': 100, 'defense': 80, 'special-attack': 60, 'special-defense': 60, 'speed': 50}"
222,corsola,6,50,"water, rock","hustle, natural-cure, regenerator","{'hp': 65, 'attack': 55, 'defense': 95, 'special-attack': 65, 'special-defense': 95, 'speed': 35}"
223,remoraid,6,120,water,"hustle, sniper, moody","{'hp': 35, 'attack': 65, 'defense': 35, 'special-attack': 65, 'special-defense': 35, 'speed': 65}"
224,octillery,9,285,water,"suction-cups, sniper, moody","{'hp': 75, 'attack': 105, 'defense': 75, 'special-attack': 105, 'special-defense': 75, 'speed': 45}"
225,delibird,9,160,"ice, flying","vital-spirit, hustle, insomnia","{'hp': 45, 'attack': 55, 'defense': 45, 'special-attack': 65, 'special-defense': 45, 'speed': 75}"
226,mantine,21,2200,"water, flying","swift-swim, water-absorb, water-veil","{'hp': 85, 'attack': 40, 'defense': 70, 'special-attack': 80, 'special-defense': 140, 'speed': 70}"
227,skarmory,17,505,"steel, flying","keen-eye, sturdy, weak-armor","{'hp': 65, 'attack': 80, 'defense': 140, 'special-attack': 40, 'special-defense': 70, 'speed': 70}"
228,houndour,6,108,"dark, fire","early-bird, flash-fire, unnerve","{'hp': 45, 'attack': 60, 'defense': 30, 'special-attack': 80, 'special-defense': 50, 'speed': 65}"
229,houndoom,14,350,"dark, fire","early-bird, flash-fire, unnerve","{'hp': 75, 'attack': 90, 'defense': 50, 'special-attack': 110, 'special-defense': 80, 'speed': 95}"
230,kingdra,18,1520,"water, dragon","swift-swim, sniper, damp","{'hp': 75, 'attack': 95, 'defense': 95, 'special-attack': 95, 'special-defense': 95, 'speed': 85}"
231,phanpy,5,335,ground,"pickup, sand-veil","{'hp': 90, 'attack': 60, 'defense': 60, 'special-attack': 40, 'special-defense': 40, 'speed': 40}"
232,donphan,11,1200,ground,"sturdy, sand-veil","{'hp': 90, 'attack': 120, 'defense': 120, 'special-attack': 60, 'special-defense': 60, 'speed': 50}"
233,porygon2,6,325,normal,"trace, download, analytic","{'hp': 85, 'attack': 80, 'defense': 90, 'special-attack': 105, 'special-defense': 95, 'speed': 60}"
234,stantler,14,712,normal,"intimidate, frisk, sap-sipper","{'hp': 73, 'attack': 95, 'defense': 62, 'special-attack': 85, 'special-defense': 65, 'speed': 85}"
235,smeargle,12,580,normal,"own-tempo, technician, moody","{'hp': 55, 'attack': 20, 'defense': 35, 'special-attack': 20, 'special-defense': 45, 'speed': 75}"
236,tyrogue,7,210,fighting,"guts, steadfast, vital-spirit","{'hp': 35, 'attack': 35, 'defense': 35, 'special-attack': 35, 'special-defense': 35, 'speed': 35}"
237,hitmontop,14,480,fighting,"intimidate, technician, steadfast","{'hp': 50, 'attack': 95, 'defense': 95, 'special-attack': 35, 'special-defense': 110, 'speed': 70}"
238,smoochum,4,60,"ice, psychic","oblivious, forewarn, hydration","{'hp': 45, 'attack': 30, 'defense': 15, 'special-attack': 85, 'special-defense': 65, 'speed': 65}"
239,elekid,6,235,electric,"static, vital-spirit","{'hp': 45, 'attack': 63, 'defense': 37, 'special-attack': 65, 'special-defense': 55, 'speed': 95}"
240,magby,7,214,fire,"flame-body, vital-spirit","{'hp': 45, 'attack': 75, 'defense': 37, 'special-attack': 70, 'special-defense': 55, 'speed': 83}"
241,miltank,12,755,normal,"thick-fat, scrappy, sap-sipper","{'hp': 95, 'attack': 80, 'defense': 105, 'special-attack': 40, 'special-defense': 70, 'speed': 100}"
242,blissey,15,468,normal,"natural-cure, serene-grace, healer","{'hp': 255, 'attack': 10, 'defense': 10, 'special-attack': 75, 'special-defense': 135, 'speed': 55}"
243,raikou,19,1780,electric,"pressure, inner-focus","{'hp': 90, 'attack': 85, 'defense': 75, 'special-attack': 115, 'special-defense': 100, 'speed': 115}"
244,entei,21,1980,fire,"pressure, inner-focus","{'hp': 115, 'attack': 115, 'defense': 85, 'special-attack': 90, 'special-defense': 75, 'speed': 100}"
245,suicune,20,1870,water,"pressure, inner-focus","{'hp': 100, 'attack': 75, 'defense': 115, 'special-attack': 90, 'special-defense': 115, 'speed': 85}"
246,larvitar,6,720,"rock, ground","guts, sand-veil","{'hp': 50, 'attack': 64, 'defense': 50, 'special-attack': 45, 'special-defense': 50, 'speed': 41}"
247,pupitar,12,1520,"rock, ground",shed-skin,"{'hp': 70, 'attack': 84, 'defense': 70, 'special-attack': 65, 'special-defense': 70, 'speed': 51}"
248,tyranitar,20,2020,"rock, dark","sand-stream, unnerve","{'hp': 100, 'attack': 134, 'defense': 110, 'special-attack': 95, 'special-defense': 100, 'speed': 61}"
249,lugia,52,2160,"psychic, flying","pressure, multiscale","{'hp': 106, 'attack': 90, 'defense': 130, 'special-attack': 90, 'special-defense': 154, 'speed': 110}"
250,ho-oh,38,1990,"fire, flying","pressure, regenerator","{'hp': 106, 'attack': 130, 'defense': 90, 'special-attack': 110, 'special-defense': 154, 'speed': 90}"
251,celebi,6,50,"psychic, grass",natural-cure,"{'hp': 100, 'attack': 100, 'defense': 100, 'special-attack': 100, 'special-defense': 100, 'speed': 100}"
252,treecko,5,50,grass,"overgrow, unburden","{'hp': 40, 'attack': 45, 'defense': 35, 'special-attack': 65, 'special-defense': 55, 'speed': 70}"
253,grovyle,9,216,grass,"overgrow, unburden","{'hp': 50, 'attack': 65, 'defense': 45, 'special-attack': 85, 'special-defense': 65, 'speed': 95}"
254,sceptile,17,522,grass,"overgrow, unburden","{'hp': 70, 'attack': 85, 'defense': 65, 'special-attack': 105, 'special-defense': 85, 'speed': 120}"
255,torchic,4,25,fire,"blaze, speed-boost","{'hp': 45, 'attack': 60, 'defense': 40, 'special-attack': 70, 'special-defense': 50, 'speed': 45}"
256,combusken,9,195,"fire, fighting","blaze, speed-boost","{'hp': 60, 'attack': 85, 'defense': 60, 'special-attack': 85, 'special-defense': 60, 'speed': 55}"
257,blaziken,19,520,"fire, fighting","blaze, speed-boost","{'hp': 80, 'attack': 120, 'defense': 70, 'special-attack': 110, 'special-defense': 70, 'speed': 80}"
258,mudkip,4,76,water,"torrent, damp","{'hp': 50, 'attack': 70, 'defense': 50, 'special-attack': 50, 'special-defense': 50, 'speed': 40}"
259,marshtomp,7,280,"water, ground","torrent, damp","{'hp': 70, 'attack': 85, 'defense': 70, 'special-attack': 60, 'special-defense': 70, 'speed': 50}"
260,swampert,15,819,"water, ground","torrent, damp","{'hp': 100, 'attack': 110, 'defense': 90, 'special-attack': 85, 'special-defense': 90, 'speed': 60}"
261,poochyena,5,136,dark,"run-away, quick-feet, rattled","{'hp': 35, 'attack': 55, 'defense': 35, 'special-attack': 30, 'special-defense': 30, 'speed': 35}"
262,mightyena,10,370,dark,"intimidate, quick-feet, moxie","{'hp': 70, 'attack': 90, 'defense': 70, 'special-attack': 60, 'special-defense': 60, 'speed': 70}"
263,zigzagoon,4,175,normal,"pickup, gluttony, quick-feet","{'hp': 38, 'attack': 30, 'defense': 41, 'special-attack': 30, 'special-defense': 41, 'speed': 60}"
264,linoone,5,325,normal,"pickup, gluttony, quick-feet","{'hp': 78, 'attack': 70, 'defense': 61, 'special-attack': 50, 'special-defense': 61, 'speed': 100}"
265,wurmple,3,36,bug,"shield-dust, run-away","{'hp': 45, 'attack': 45, 'defense': 35, 'special-attack': 20, 'special-defense': 30, 'speed': 20}"
266,silcoon,6,100,bug,shed-skin,"{'hp': 50, 'attack': 35, 'defense': 55, 'special-attack': 25, 'special-defense': 25, 'speed': 15}"
267,beautifly,10,284,"bug, flying","swarm, rivalry","{'hp': 60, 'attack': 70, 'defense': 50, 'special-attack': 100, 'special-defense': 50, 'speed': 65}"
268,cascoon,7,115,bug,shed-skin,"{'hp': 50, 'attack': 35, 'defense': 55, 'special-attack': 25, 'special-defense': 25, 'speed': 15}"
269,dustox,12,316,"bug, poison","shield-dust, compound-eyes","{'hp': 60, 'attack': 50, 'defense': 70, 'special-attack': 50, 'special-defense': 90, 'speed': 65}"
270,lotad,5,26,"water, grass","swift-swim, rain-dish, own-tempo","{'hp': 40, 'attack': 30, 'defense': 30, 'special-attack': 40, 'special-defense': 50, 'speed': 30}"
271,lombre,12,325,"water, grass","swift-swim, rain-dish, own-tempo","{'hp': 60, 'attack': 50, 'defense': 50, 'special-attack': 60, 'special-defense': 70, 'speed': 50}"
272,ludicolo,15,550,"water, grass","swift-swim, rain-dish, own-tempo","{'hp': 80, 'attack': 70, 'defense': 70, 'special-attack': 90, 'special-defense': 100, 'speed': 70}"
273,seedot,5,40,grass,"chlorophyll, early-bird, pickpocket","{'hp': 40, 'attack': 40, 'defense': 50, 'special-attack': 30, 'special-defense': 30, 'speed': 30}"
274,nuzleaf,10,280,"grass, dark","chlorophyll, early-bird, pickpocket","{'hp': 70, 'attack': 70, 'defense': 40, 'special-attack': 60, 'special-defense': 40, 'speed': 60}"
275,shiftry,13,596,"grass, dark","chlorophyll, wind-rider, pickpocket","{'hp': 90, 'attack': 100, 'defense': 60, 'special-attack': 90, 'special-defense': 60, 'speed': 80}"
276,taillow,3,23,"normal, flying","guts, scrappy","{'hp': 40, 'attack': 55, 'defense': 30, 'special-attack': 30, 'special-defense': 30, 'speed': 85}"
277,swellow,7,198,"normal, flying","guts, scrappy","{'hp': 60, 'attack': 85, 'defense': 60, 'special-attack': 75, 'special-defense': 50, 'speed': 125}"
278,wingull,6,95,"water, flying","keen-eye, hydration, rain-dish","{'hp': 40, 'attack': 30, 'defense': 30, 'special-attack': 55, 'special-defense': 30, 'speed': 85}"
279,pelipper,12,280,"water, flying","keen-eye, drizzle, rain-dish","{'hp': 60, 'attack': 50, 'defense': 100, 'special-attack': 95, 'special-defense': 70, 'speed': 65}"
280,ralts,4,66,"psychic, fairy","synchronize, trace, telepathy","{'hp': 28, 'attack': 25, 'defense': 25, 'special-attack': 45, 'special-defense': 35, 'speed': 40}"
281,kirlia,8,202,"psychic, fairy","synchronize, trace, telepathy","{'hp': 38, 'attack': 35, 'defense': 35, 'special-attack': 65, 'special-defense': 55, 'speed': 50}"
282,gardevoir,16,484,"psychic, fairy","synchronize, trace, telepathy","{'hp': 68, 'attack': 65, 'defense': 65, 'special-attack': 125, 'special-defense': 115, 'speed': 80}"
283,surskit,5,17,"bug, water","swift-swim, rain-dish","{'hp': 40, 'attack': 30, 'defense': 32, 'special-attack': 50, 'special-defense': 52, 'speed': 65}"
284,masquerain,8,36,"bug, flying","intimidate, unnerve","{'hp': 70, 'attack': 60, 'defense': 62, 'special-attack': 100, 'special-defense': 82, 'speed': 80}"
285,shroomish,4,45,grass,"effect-spore, poison-heal, quick-feet","{'hp': 60, 'attack': 40, 'defense': 60, 'special-attack': 40, 'special-defense': 60, 'speed': 35}"
286,breloom,12,392,"grass, fighting","effect-spore, poison-heal, technician","{'hp': 60, 'attack': 130, 'defense': 80, 'special-attack': 60, 'special-defense': 60, 'speed': 70}"
287,slakoth,8,240,normal,truant,"{'hp': 60, 'attack': 60, 'defense': 60, 'special-attack': 35, 'special-defense': 35, 'speed': 30}"
288,vigoroth,14,465,normal,vital-spirit,"{'hp': 80, 'attack': 80, 'defense': 80, 'special-attack': 55, 'special-defense': 55, 'speed': 90}"
289,slaking,20,1305,normal,truant,"{'hp': 150, 'attack': 160, 'defense': 100, 'special-attack': 95, 'special-defense': 65, 'speed': 100}"
290,nincada,5,55,"bug, ground","compound-eyes, run-away","{'hp': 31, 'attack': 45, 'defense': 90, 'special-attack': 30, 'special-defense': 30, 'speed': 40}"
291,ninjask,8,120,"bug, flying","speed-boost, infiltrator","{'hp': 61, 'attack': 90, 'defense': 45, 'special-attack': 50, 'special-defense': 50, 'speed': 160}"
292,shedinja,8,12,"bug, ghost",wonder-guard,"{'hp': 1, 'attack': 90, 'defense': 45, 'special-attack': 30, 'special-defense': 30, 'speed': 40}"
293,whismur,6,163,normal,"soundproof, rattled","{'hp': 64, 'attack': 51, 'defense': 23, 'special-attack': 51, 'special-defense': 23, 'speed': 28}"
294,loudred,10,405,normal,"soundproof, scrappy","{'hp': 84, 'attack': 71, 'defense': 43, 'special-attack': 71, 'special-defense': 43, 'speed': 48}"
295,exploud,15,840,normal,"soundproof, scrappy","{'hp': 104, 'attack': 91, 'defense': 63, 'special-attack': 91, 'special-defense': 73, 'speed': 68}"
296,makuhita,10,864,fighting,"thick-fat, guts, sheer-force","{'hp': 72, 'attack': 60, 'defense': 30, 'special-attack': 20, 'special-defense': 30, 'speed': 25}"
297,hariyama,23,2538,fighting,"thick-fat, guts, sheer-force","{'hp': 144, 'attack': 120, 'defense': 60, 'special-attack': 40, 'special-defense': 60, 'speed': 50}"
298,azurill,2,20,"normal, fairy","thick-fat, huge-power, sap-sipper","{'hp': 50, 'attack': 20, 'defense': 40, 'special-attack': 20, 'special-defense': 40, 'speed': 20}"
299,nosepass,10,970,rock,"sturdy, magnet-pull, sand-force","{'hp': 30, 'attack': 45, 'defense': 135, 'special-attack': 45, 'special-defense': 90, 'speed': 30}"
300,skitty,6,110,normal,"cute-charm, normalize, wonder-skin","{'hp': 50, 'attack': 45, 'defense': 45, 'special-attack': 35, 'special-defense': 35, 'speed': 50}"
301,delcatty,11,326,normal,"cute-charm, normalize, wonder-skin","{'hp': 70, 'attack': 65, 'defense': 65, 'special-attack': 55, 'special-defense': 55, 'speed': 90}"
302,sableye,5,110,"dark, ghost","keen-eye, stall, prankster","{'hp': 50, 'attack': 75, 'defense': 75, 'special-attack': 65, 'special-defense': 65, 'speed': 50}"
303,mawile,6,115,"steel, fairy","hyper-cutter, intimidate, sheer-force","{'hp': 50, 'attack': 85, 'defense': 85, 'special-attack': 55, 'special-defense': 55, 'speed': 50}"
304,aron,4,600,"steel, rock","sturdy, rock-head, heavy-metal","{'hp': 50, 'attack': 70, 'defense': 100, 'special-attack': 40, 'special-defense': 40, 'speed': 30}"
305,lairon,9,1200,"steel, rock","sturdy, rock-head, heavy-metal","{'hp': 60, 'attack': 90, 'defense': 140, 'special-attack': 50, 'special-defense': 50, 'speed': 40}"
306,aggron,21,3600,"steel, rock","sturdy, rock-head, heavy-metal","{'hp': 70, 'attack': 110, 'defense': 180, 'special-attack': 60, 'special-defense': 60, 'speed': 50}"
307,meditite,6,112,"fighting, psychic","pure-power, telepathy","{'hp': 30, 'attack': 40, 'defense': 55, 'special-attack': 40, 'special-defense': 55, 'speed': 60}"
308,medicham,13,315,"fighting, psychic","pure-power, telepathy","{'hp': 60, 'attack': 60, 'defense': 75, 'special-attack': 60, 'special-defense': 75, 'speed': 80}"
309,electrike,6,152,electric,"static, lightning-rod, minus","{'hp': 40, 'attack': 45, 'defense': 40, 'special-attack': 65, 'special-defense': 40, 'speed': 65}"
310,manectric,15,402,electric,"static, lightning-rod, minus","{'hp': 70, 'attack': 75, 'defense': 60, 'special-attack': 105, 'special-defense': 60, 'speed': 105}"
311,plusle,4,42,electric,"plus, lightning-rod","{'hp': 60, 'attack': 50, 'defense': 40, 'special-attack': 85, 'special-defense': 75, 'speed': 95}"
312,minun,4,42,electric,"minus, volt-absorb","{'hp': 60, 'attack': 40, 'defense': 50, 'special-attack': 75, 'special-defense': 85, 'speed': 95}"
313,volbeat,7,177,bug,"illuminate, swarm, prankster","{'hp': 65, 'attack': 73, 'defense': 75, 'special-attack': 47, 'special-defense': 85, 'speed': 85}"
314,illumise,6,177,bug,"oblivious, tinted-lens, prankster","{'hp': 65, 'attack': 47, 'defense': 75, 'special-attack': 73, 'special-defense': 85, 'speed': 85}"
315,roselia,3,20,"grass, poison","natural-cure, poison-point, leaf-guard","{'hp': 50, 'attack': 60, 'defense': 45, 'special-attack': 100, 'special-defense': 80, 'speed': 65}"
316,gulpin,4,103,poison,"liquid-ooze, sticky-hold, gluttony","{'hp': 70, 'attack': 43, 'defense': 53, 'special-attack': 43, 'special-defense': 53, 'speed': 40}"
317,swalot,17,800,poison,"liquid-ooze, sticky-hold, gluttony","{'hp': 100, 'attack': 73, 'defense': 83, 'special-attack': 73, 'special-defense': 83, 'speed': 55}"
318,carvanha,8,208,"water, dark","rough-skin, speed-boost","{'hp': 45, 'attack': 90, 'defense': 20, 'special-attack': 65, 'special-defense': 20, 'speed': 65}"
319,sharpedo,18,888,"water, dark","rough-skin, speed-boost","{'hp': 70, 'attack': 120, 'defense': 40, 'special-attack': 95, 'special-defense': 40, 'speed': 95}"
320,wailmer,20,1300,water,"water-veil, oblivious, pressure","{'hp': 130, 'attack': 70, 'defense': 35, 'special-attack': 70, 'special-defense': 35, 'speed': 60}"
321,wailord,145,3980,water,"water-veil, oblivious, pressure","{'hp': 170, 'attack': 90, 'defense': 45, 'special-attack': 90, 'special-defense': 45, 'speed': 60}"
322,numel,7,240,"fire, ground","oblivious, simple, own-tempo","{'hp': 60, 'attack': 60, 'defense': 40, 'special-attack': 65, 'special-defense': 45, 'speed': 35}"
323,camerupt,19,2200,"fire, ground","magma-armor, solid-rock, anger-point","{'hp': 70, 'attack': 100, 'defense': 70, 'special-attack': 105, 'special-defense': 75, 'speed': 40}"
324,torkoal,5,804,fire,"white-smoke, drought, shell-armor","{'hp': 70, 'attack': 85, 'defense': 140, 'special-attack': 85, 'special-defense': 70, 'speed': 20}"
325,spoink,7,306,psychic,"thick-fat, own-tempo, gluttony","{'hp': 60, 'attack': 25, 'defense': 35, 'special-attack': 70, 'special-defense': 80, 'speed': 60}"
326,grumpig,9,715,psychic,"thick-fat, own-tempo, gluttony","{'hp': 80, 'attack': 45, 'defense': 65, 'special-attack': 90, 'special-defense': 110, 'speed': 80}"
327,spinda,11,50,normal,"own-tempo, tangled-feet, contrary","{'hp': 60, 'attack': 60, 'defense': 60, 'special-attack': 60, 'special-defense': 60, 'speed': 60}"
328,trapinch,7,150,ground,"hyper-cutter, arena-trap, sheer-force","{'hp': 45, 'attack': 100, 'defense': 45, 'special-attack': 45, 'special-defense': 45, 'speed': 10}"
329,vibrava,11,153,"ground, dragon",levitate,"{'hp': 50, 'attack': 70, 'defense': 50, 'special-attack': 50, 'special-defense': 50, 'speed': 70}"
330,flygon,20,820,"ground, dragon",levitate,"{'hp': 80, 'attack': 100, 'defense': 80, 'special-attack': 80, 'special-defense': 80, 'speed': 100}"
331,cacnea,4,513,grass,"sand-veil, water-absorb","{'hp': 50, 'attack': 85, 'defense': 40, 'special-attack': 85, 'special-defense': 40, 'speed': 35}"
332,cacturne,13,774,"grass, dark","sand-veil, water-absorb","{'hp': 70, 'attack': 115, 'defense': 60, 'special-attack': 115, 'special-defense': 60, 'speed': 55}"
333,swablu,4,12,"normal, flying","natural-cure, cloud-nine","{'hp': 45, 'attack': 40, 'defense': 60, 'special-attack': 40, 'special-defense': 75, 'speed': 50}"
